"Id","Title","Experiment   or Case ID","Lat","Long","Team","No. Floors","First Floor Area [m^2]","Second Floor Area [m^2]","Total Floor Area [m^2]","First Floor Column Area [m^2]","Second Floor Column Area [m^2]","First Floor Concrete Wall Area NS [m^2]","Second Floor Concrete Wall Area NS [m^2]","First Floor Concrete Wall Area EW [m^2]","Second Floor Concrete Wall Area EW [m^2]","First Floor Masonry Wall Area NS [m^2]","Second Floor Masonry Wall Area NS [m^2]","First Floor Masonry Wall Area EW [m^2]","Second Floor Masonry Wall Area EW [m^2]","Structural Damage [L= Light, M=Moderate, S=Severe, C=Collapse]","Masonry Wall Damage [L= Light, M=Moderate, S=Severe]","Captive Columns [1=Yes, 0=No]","Column Index, CI [%]","Wall Index, WI [%]","Priority Index, PI [%]","Report(s)","Data","Photos, Videos, etc.","Drawings/Diagrams",
"94662","Yujing Junior High School B","A01-E01","23.12333333","120.4705556","A","3","469","469","1406","11.4","11.4","0.9","","10.3","","0","0","0","0","L","L","1","0.41","0.07","0.47","","","View 137 media","View 8 drawing(s)",
"94663","TKEC Store Yujing","A02-C02","23.12027778","120.4658333","A","4","203","203","846","2.5","","5.2","","1.4","","0","","0","","L","L","0","0.15","0.16","0.31","","","View 123 media","View 2 drawing(s)",
"94664","Yujing Elementary School NE Wing","A03","23.12166667","120.4583333","A","2","633","633","1265","5.5","5.5","0","","0","","14.6","","6.5","","L","L","1","0.22","0.05","0.27","","","View 73 media","View 35 drawing(s)",
"94665","Yujing Elementary School NW Wing","A04","23.12166667","120.4583333","A","2","416","416","833","4","4","0","","0","","8.6","","0","","S","L","1","0.24","0.00","0.24","","","View 38 media","View 30 drawing(s)",
"94666","Yujing Vocational School Hospitality Dep.","A05","23.12055556","120.4613889","A","3","880","880","3079","10","10","15.8","","3.9","","0","","1.8","","M","M","1","0.16","0.13","0.30","","","View 35 media","View 2 drawing(s)",
"94667","Yujing Vocational School - New Building (N)","A06","23.12244444","120.4599167","A","5","1299","","6496","19.8","","17","","16","","0","","0","","L","","1","0.15","0.25","0.40","","","View 21 media","View 61 drawing(s)",
"94668","Shanshang District Office Building","A07","23.10361111","120.3525","A","3","479","434","1544","5.6","","0","","0","","6.6","","0.8","","S","S","1","0.18","0.00","0.19","","","View 95 media","",
"94669","Shanshang Elementary School N Wing","A08","23.10105556","120.3550833","A","2","788","788","1576","9.2","","0","","0","","18.4","","6.4","","N","N","1","0.29","0.04","0.33","","","View 27 media","View 3 drawing(s)",
"94670","No Access","A09","","","A","","","","","","","","","","","","","","","","","","","","","","","View 11 media","View 1 drawing(s)",
"94671","Naba Elementary School","A10","23.06816667","120.3496111","A","2","297","339","636","4.2","","0","","0","","4.4","","0","","N","L","1","0.33","0.00","0.33","","","View 35 media","View 18 drawing(s)",
"94672","Private Building by TAI Station","A11","22.99327778","120.2053333","A","4","69","69","312","1.7","","2.2","","0.9","","0","","0","","N","","","0.27","0.30","0.57","","","View 29 media","View 1 drawing(s)",
"94673","Residential Building with Red tag Near Weikuan Building","A12","23.00872222","120.2583889","A","3","47","47","140","0.4","","0","","0","","0.7","","2.6","","M","M","0","0.13","0.05","0.18","","","View 22 media","View 1 drawing(s)",
"94674","8-Story Building Near Weikuan Building","A13","23.00833333","120.2593611","A","8","425","425","3403","6.7","","1.7","","5","","0","","0","","L","","0","0.10","0.05","0.15","","","View 35 media","View 1 drawing(s)",
"94675","Highrise / East District Tainan","A14","23.00886111","120.26025","A","18","","","","","","","","","","","","","","N","N","","","","","","","View 15 media","View 28 drawing(s)",
"94676","Highrise / East District Tainan","A15","22.97869444","120.2302222","A","13","","","","","","","","","","","","","","N","","","","","","","","View 10 media","View 1 drawing(s)",
"94677","Zhouzheng District Office","A16","23.05683333","120.4086944","A","3","571","719","2010","7.2","","0","","0","","9.4","","1.5","","S","M","1","0.18","0.01","0.19","","","View 95 media","View 1 drawing(s)",
"94678","Nanhua District Office","A17","23.04241667","120.4777222","A","3","531","531","1682","6.4","","0","","0","","5.4","","0.8","","S","M","1","0.19","0.00","0.19","","","View 61 media","View 1 drawing(s)",
"94679","King's Town High-Rise Near Collapsed Bank","A18","23.03625","120.3004444","A","12","","","","","","","","","","","","","","S","","","","","","","","View 115 media","View 37 drawing(s)",
"94680","20-Story Highrise","A19","22.99097222","120.1681944","A","20","","","","","","","","","","","","","","S","","","","","","","","View 53 media","View 190 drawing(s)",
"94681","24-Story Highrise","A20","22.991","120.1681667","A","24","","","","","","","","","","","","","","S","","","","","","","","View 47 media","View 261 drawing(s)",
"94682","Guantian District Office Building","A21","23.193","120.3154444","A","3","443","565","1572","6","","0","","0","","6.1","","1.5","","L","L","1","0.19","0.01","0.20","","","View 53 media","View 1 drawing(s)",
"94683","District Office Building","A22","23.12308333","120.2035278","A","3","460","430","1510","5.8","","2.8","","3.2","","7.6","","0.8","","L","L","1","0.19","0.22","0.41","","","View 25 media","View 1 drawing(s)",
"94684","Jiayi Tax Office","A23","23.16586111","120.1757222","A","4","724","668","2728","8.2","","1","","1.3","","3.9","","3.6","","L","L","1","0.15","0.05","0.20","","","View 88 media","View 3 drawing(s)",
"94685","Yujing Junior High School Special Classroom","B01-C01-X01","23.12341667","120.4699444","B","3","429","429","1287","6.6","6.6","2.1","4.8","0.3","0","3.6","0","0","0","S","M","1","0.26","0.02","0.28","","","View 244 media","View 33 drawing(s)",
"94686","Vegetarian Restaurant Yujing","B02-D02","23.11986111","120.4696667","B","2.5","191","","525","3.2","","0","","0","","4.1","","0.1","","L","M","0","0.30","0.00","0.30","","","View 49 media","View 3 drawing(s)",
"94687","Yujing District Tire Store","B03-D03","23.11922222","120.4671944","B","3","321","321","1124","3.1","","0","","0","","3","","7.5","","S","S","1","0.14","0.03","0.16","","","View 56 media","View 1 drawing(s)",
"94688","Yujing Elementary School, West Wing","B04","23.12116667","120.4581111","B","3","820","","2460","7.9","","0","","0","","0","","21","","S","S","1","0.16","0.00","0.16","","","View 134 media","View 54 drawing(s)",
"94689","Yujing Elementary School, South Wing","B05","23.12113889","120.4583611","B","2","615","","1230","5.2","","0","","0","","14.8","","3.5","","L","L","1","0.21","0.03","0.24","","","View 42 media","View 12 drawing(s)",
"94690","Yujing Elementary School, East Wing","B06","23.12125","120.4586389","B","3","807","","2421","8.6","","0","","0","","0","","18.5","","L","L","1","0.18","0.00","0.18","","","View 54 media","View 22 drawing(s)",
"94691","Yujing Vocational School","B07","23.12155556","120.4597778","B","3","840","840","2520","7.1","","5.9","","0","","0","","16.7","","L","N","1","0.14","0.07","0.21","","","View 295 media","View 183 drawing(s)",
"94692","Yujing Vocational School","B08","23.12258333","120.4599167","B","3","333","333","998","3.7","","0.8","","2","","3.9","","0","","L","L/M","1","0.18","0.12","0.30","","","View 134 media","View 53 drawing(s)",
"94693","Shanshang District Residence","B09","23.10238889","120.3541111","B","3.5","580","580","2030","5.3","","0","","0","","16","","0","","S","S","1","0.13","0.00","0.13","","","View 69 media","View 1 drawing(s)",
"94694","Shanshang District Residential Building","B10","23.10305556","120.3531944","B","3","700","700","2100","37","","0","","0","","18.3","","0","","N","N","0","0.88","0.00","0.88","","","View 19 media","View 1 drawing(s)",
"94695","Shanshang Junior High School","B11","23.1035","120.3583889","B","3","921","921","2763","8.7","","0","","0","","21.1","","0","","M","M","1","0.16","0.00","0.16","","","View 56 media","View 14 drawing(s)",
"94696","Residential Building near CHN3 Station","B12","23.07722222","120.3655833","B","2","118","118","236","0.9","","0.9","","0","","4","","1.4","","L","L","1","0.19","0.06","0.25","","","View 50 media","View 1 drawing(s)",
"94697","Residential Building Tainan City","B13","22.99352778","120.2011667","B","5","97","97","534","3","","0","","0","","0","","10.5","","L","L","0","0.28","0.00","0.28","","","View 41 media","View 1 drawing(s)",
"94698","Yong Fu Elementary School","B14","22.99294444","120.2021389","B","4","193","193","772","3.6","","0","","0","","5","","0","","L","L","0","0.23","0.00","0.23","","","View 13 media","View 1 drawing(s)",
"94699","Yong Fu Elementary School Library","B15","22.99252778","120.2011389","B","4","1447","","5400","40","","0","","0","","3.4","","11","","N","N","1","0.37","0.01","0.38","","","View 22 media","View 1 drawing(s)",
"94700","Kunshan Elementary School Front Building","B16-A","23.00641667","120.2584444","B","3","1300","1300","3900","15.8","","0","","0","","16.8","","4.3","","N","L","1","0.20","0.01","0.21","","","View 25 media","View 9 drawing(s)",
"94701","Kunshan Elementary School Middle Building","B16-B","23.00641667","120.2584444","B","3","1643","1643","4929","21.2","","0","","0","","18.5","","10.9","","N","L","1","0.21","0.02","0.24","","","View 25 media","View 10 drawing(s)",
"94702","East District 14-Story Residential Building A","B17-A","22.97058333","120.2351111","B","14","","","","","","","","","","","","","","L","","","","","","","","View 18 media","View 182 drawing(s)",
"94703","East District 14-Story Residential Building B","B17-B","22.97058333","120.2351111","B","14","","","","","","","","","","","","","","S","S","","","","","","","View 268 media","View 182 drawing(s)",
"94704","East District 14-Story Residential Building C","B17-C","22.96966667","120.2353611","B","14","","","","","","","","","","","","","","L","","","","","","","","View 12 media","View 182 drawing(s)",
"94705","East District 14-Story Residential Building D","B17-D","22.96980556","120.2344444","B","14","","","","","","","","","","","","","","N","","","","","","","","View 37 media","View 183 drawing(s)",
"94706","American Building A","B18-A","22.97355556","120.2892778","B","12","","","","","","","","","","","","","","N","L","","","","","","","View 88 media","View 128 drawing(s)",
"94707","American Building B","B18-B","22.97355556","120.2892778","A","12","","","","","","","","","","","","","","S","S","","","","","","","View 59 media","View 128 drawing(s)",
"94708","Guiren District  Eighth Floor Apartment","B19","22.97138889","120.2876667","B","8","648","648","5186","8.3","","2.5","","1.5","","","","","","L","L","","0.08","0.03","0.11","","","View 64 media","View 53 drawing(s)",
"94709","Building next to Zhouzheng District Office","B20","23.05694444","120.4090278","B","2","153","195","348","1.6","","0","","0","","5.5","","2.8","","N","L","0","0.23","0.08","0.31","","","View 65 media","View 1 drawing(s)",
"94710","Nanhua District Market","B21","23.04227778","120.47775","B","2","508","508","1016","2.5","","0","","0","","0","","1.6","","S","S","1","0.12","0.00","0.12","","","View 61 media","View 1 drawing(s)",
"94711","Nanhua Police Station","B22","23.04244444","120.47725","B","2","240","185","425","4.2","","0","","0","","7.1","","3.7","","L","L","1","0.49","0.09","0.58","","","View 11 media","View 1 drawing(s)",
"94712","Sinhua District office","B23","23.03855556","120.3109444","B","3","974","974","2923","21.1","","","","","","14.4","","10.9","","N","N","","0.36","0.04","0.40","","","View 70 media","View 1 drawing(s)",
"94713","Yongkang District office","B24","23.02619444","120.2569444","B","3","540","540","1900","12.2","","3.7","","3.9","","","","","","N","N","","0.32","0.20","0.52","","","View 88 media","View 1 drawing(s)",
"94714","Yonkang Elementary School NW Retrofit Building","B25","23.02644444","120.2564167","B","2","183","242","425","5.2","","0.7","","0","","0.7","","2.1","","N","N","1","0.61","0.05","0.65","","","View 44 media","View 1 drawing(s)",
"94715","Yujing Residential Building","C03","23.11933333","120.46725","C","3","110","110","385","1.8","1.8","3.4","6","0.9","0.9","0","","0","","M","M","0","0.23","0.23","0.46","","","View 136 media","View 98 drawing(s)",
"94716","Yujing Residential Building","C04","23.11941667","120.4680833","C","2","362","299","811","2.4","2.4","0","","0","","9.7","5.8","6.8","5","S","S","0","0.15","0.08","0.23","","","View 190 media","View 55 drawing(s)",
"94717","Yujing Vocational School Teaching Building","C05","23.12086111","120.4603611","C","5","750","750","3750","8","8","9.8","9.8","6.5","7","0","0","0","0","L","","1","0.11","0.17","0.28","","","View 178 media","View 173 drawing(s)",
"94718","Yujing Vocational Business School","C06","23.12080556","120.4599167","C","3","366","","1098","4.3","4.3","4.5","4.5","6.3","6","6.8","6.8","1.4","1.4","L","L","1","0.20","0.47","0.67","","","View 272 media","View 27 drawing(s)",
"94719","Yujing Vocational School - Library","C07","23.12136111","120.4600278","C","3","241","274","769","4.2","4.2","3.4","3.4","2.5","2.5","6.2","6.2","2","2","N","L","1","0.27","0.35","0.62","","","View 135 media","View 3 drawing(s)",
"94720","Yujing Vocational School - Dormitory","C08","23.12113889","120.4611389","C","3","458","458","1583","9.8","9.8","0","0","2.2","2.2","18.3","18.3","1.6","1.6","M","L","1","0.31","0.12","0.43","","","View 302 media","View 12 drawing(s)",
"94721","Apartment across from District Office Building","C09","23.10352778","120.3526111","C","3","400","415","1127","3.3","3.3","0","","0","","22.7","22.7","6.8","6.8","N","L","1","0.15","0.06","0.21","","","View 77 media","View 1 drawing(s)",
"94722","Shanshang Elementary School / Infermery","C10","23.10072222","120.3556111","C","2","450","490","940","4.5","4.3","0","0","1.3","1.3","11.3","11.3","5.4","5.4","N","L","1","0.24","0.12","0.36","","","View 93 media","View 14 drawing(s)",
"94723","Yellow Building in ShanShang District (Near CHN03)","C11","23.07938889","120.3685278","C","2","87","100","187","1.2","1.2","0","","0","","3.7","3.7","3.1","3.1","N","N","0","0.33","0.17","0.49","","","View 53 media","View 14 drawing(s)",
"94724","Apartment Building in ShanShang District (Near CHN03)","C12","23.07363889","120.3684167","C","2","560","550","1193","5.2","5.2","","","","","23","23","5.1","5.1","N","M","0","0.22","0.04","0.26","","","View 52 media","View 67 drawing(s)",
"94725","Guiren District Office Building","C13","22.96725","120.2941667","C","3","487","518","1676","6.6","","0","","3.5","","7","","1","","L","L","1","0.20","0.04","0.24","","","View 132 media","",
"94726","Guiren Clothing Store","C14","22.96725","120.2941667","C","5","112","126","616","2.3","","0","","0","","0","","0","","S","S","0","0.18","0.00","0.18","","","View 128 media","View 3 drawing(s)",
"94727","Guiren Bean and Rice Store","C15","22.96663889","120.2968056","C","4","49","49","208","1.9","","0","","0","","2","5","0.2","0.7","L","M","1","0.46","0.01","0.47","","","View 87 media","View 3 drawing(s)",
"94728","Residential Unit Guiren","C16","22.97094444","120.2871389","C","2","246","246","616","2.2","","0","","0","","11","16","2","3.6","N","N","0","0.18","0.03","0.21","","","View 44 media","View 63 drawing(s)",
"94729","Guiren Mechanic Shop","C17","22.96405556","120.29675","C","3","145","177","543","2.5","2.5","0","","0","","9.8","6.5","1.1","2","S","L","0","0.23","0.02","0.25","","","View 56 media","View 1 drawing(s)",
"94730","Tso Chen Elementary School (Classroom and Admin)","C18","23.05619444","120.4042222","C","2","564","564","1128","6.6","6.6","0","0","0","0","14","14","3.7","3.7","L","M","1","0.29","0.03","0.33","","","View 339 media","View 1 drawing(s)",
"94731","C19","C19","23.05569444","120.4034722","C","2","355","355","710","3.4","3.4","0","0","0","0","6.5","6.5","4.7","4.7","N","N","1","0.24","0.07","0.31","","","View 61 media","View 1 drawing(s)",
"94732","C20","C20","23.04413889","120.4703611","C","2","562","370","932","8.3","8.3","8.4","8.4","6.6","6.6","0","0","0","0","N","N","1","0.45","0.71","1.15","","","View 78 media","View 1 drawing(s)",
"94733","Shanhua Elementary School Kindergarden Class","C21","23.13566667","120.2873333","C","2","213","213","425","5.9","5.9","1.5","1.8","5.1","4","0","0","0","0","N","N","0","0.69","0.35","1.05","","","View 35 media","View 25 drawing(s)",
"94734","Sinshih District Ofice","C22","23.07897222","120.2951667","C","3","804","804","2412","11.5","11.5","6.3","4.9","5.4","4.1","3.8","3.8","1.8","5.2","N","N","1","0.24","0.23","0.47","","","View 148 media","View 8 drawing(s)",
"94735","Sinshih Junior High School across from district office","C23","23.07855556","120.2961389","C","3","302","302","906","8.8","8.8","0","0","0","0","8.5","8.5","0.4","0.4","N","N","1","0.49","0.00","0.49","","","View 54 media","View 3 drawing(s)",
"94736","Gauantian Residential Building","C24","23.19275","120.314","C","6","145","145","943","3.6","3.6","0","0","2.3","2.3","2.9","","0","","N","L","1","0.19","0.03","0.22","","","View 37 media","View 1 drawing(s)",
"94737","335 Chung Hwa Road Yujing District","D04","23.11941667","120.4670833","D","3","105","","315","2.8","","0.7","","3.6","","0","","0","","M","L","0","0.44","0.21","0.65","","","View 40 media","View 47 drawing(s)",
"94738","393, 395 Chung Hwa Road Yujing District","D05","23.11883333","120.4677778","D","3","266","","931","3.3","","4","","3.4","","0","","0","","L","L","1","0.18","0.37","0.55","","","View 42 media","View 1 drawing(s)",
"94739","Yujing District Residential B. Jeni St.","D06","23.11958333","120.4678611","D","2","297","","743","1.8","","0","","0","","0.5","","6","","S","S","1","0.12","0.01","0.13","","","View 19 media","View 1 drawing(s)",
"94740","RenEye St., No. 1, 3, 5, 7","D07","23.11997222","120.4671667","D","3","352","","1232","2.2","","0","","0","","13","","8.7","","S","S","0","0.09","0.07","0.16","","","View 29 media","View 1 drawing(s)",
"94742","Yujing District Mingshong Rd. #12","D09","23.12513889","120.4604444","D","2","165","","413","2.4","","0","","0","","7.7","","2.5","","N","M","0","0.29","0.06","0.35","","","View 28 media","View 1 drawing(s)",
"94743","Shanshang District 326","D10","23.10325","120.3517778","D","2","69","69","173","0.7","","0","","0","","1.9","","4.1","","N","L","0","0.20","0.11","0.31","","","View 34 media","View 1 drawing(s)",
"94745","Gas Station Office ShanShang","D12","23.09561111","120.3674444","D","2","206","77","283","2.6","","2.1","","2.1","","2.6","","0","","N","N","0","0.46","0.74","1.20","","","View 60 media","View 1 drawing(s)",
"94747","Guiren District WunHua St. Sec. 3#2 to 16","D14","22.97086111","120.2875833","D","4","477","477","1724","8.3","","17.7","","0","","0","","1.3","","S","S","1","0.24","0.01","0.25","","","View 181 media","View 67 drawing(s)",
"94748","Guiren District WunHua St. Sec. 3#20 to 38","D15","22.97097222","120.2875833","D","4","595","595","2495","9.8","","23.1","","0","","0","","0.2","","S","S","0","0.20","0.00","0.20","","","View 150 media","View 46 drawing(s)",
"94749","Guiren District WunHua St. Sec. 3#42 to 52","D16","22.971","120.2870833","D","2","180","180","390","1.3","","0","","0","","6.4","","2.6","","N","N","0","0.17","0.07","0.23","","","View 21 media","View 1 drawing(s)",
"94750","Rende District Jeni Rd. #85-101","D17","22.97319444","120.2548333","D","5","830","830","4358","8","","9.6","","0","","0","","0","","S","","0","0.09","0.00","0.09","","","View 210 media","View 1 drawing(s)",
"94751","Zuo-Jhieng Jr High School - Natural and Living Technology","D18","23.05716667","120.4104444","D","1","179","","179","1.6","","0","","0","","4.6","","1.5","","N","L","1","0.44","0.08","0.53","","","View 37 media","View 2 drawing(s)",
"94752","Zuo-Jhieng Jr High School - Office Building","D19","23.05630556","120.4097778","D","2","581","581","1162","5.3","","0","","0","","15.6","","7.4","","N","N","1","0.23","0.06","0.29","","","View 58 media","View 2 drawing(s)",
"94753","Zuo-Jhieng Jr High School - Health Center","D20","23.05622222","120.4105278","D","2","109","109","218","1.8","","0","","0","","0","","3.9","","N","N","1","0.41","0.00","0.41","","","View 20 media","View 4 drawing(s)",
"94754","Nanhua Elementary School Office Building","D21","23.04397222","120.4701667","D","2","915","915","1830","9.7","","0","","0","","17.4","","7.2","","N","L","1","0.26","0.04","0.30","","","View 89 media","View 12 drawing(s)",
"94755","SinHua Elementary School","D22","23.03802778","120.3113056","D","3","613","613","1838","13.9","","3.2","","2.1","","0","","21.1","","N","N","1","0.38","0.17","0.55","","","View 62 media","View 60 drawing(s)",
"94756","YongKong Elementary School Classroom","D23","23.02583333","120.2551389","D","3","812","812","2437","7.2","","1","","0","","15.2","","3.7","","N","L","1","0.15","0.02","0.16","","","View 103 media","View 4 drawing(s)",
"94757","YongKong Elementary Art Classroom","D24","23.02625","120.2546667","D","4","404","404","1616","6.8","","0","","0","","0","","11.5","","N","N","1","0.21","0.00","0.21","","","View 28 media","View 5 drawing(s)",
"94758","Guantian Elementary School South Building","D25","23.18869444","120.3419444","D","2","686","686","1715","10.6","","0","","0","","13.6","","1.2","","N","N","1","0.31","0.01","0.32","","","View 121 media","View 1 drawing(s)",
"94759","JiaLi district JinXue rd #290","D26","23.18869444","120.3419444","D","4","70","70","279","1.5","","0","","0","","1.6","","2.4","","S","M","0","","","","","","View 52 media","View 1 drawing(s)",
"94760","Farmers Super Market and Mango Museum Yujing","E02-F02","23.12011111","120.4662222","E","3","600","622","2060","8.1","","3.9","","2.9","","0","","0","","S","","1","0.20","0.14","0.34","","","View 251 media","View 12 drawing(s)",
"94761","367 Chung Hwa Road Yujing District","E03","23.11925","120.4673889","E","3","147","147","441","1.8","","4.7","","0","","1.5","","1.6","","L","S","1","0.20","0.04","0.24","","","View 124 media","View 1 drawing(s)",
"94762","No Access","E04","23.11911111","120.4681389","E","","","","","","","","","","","","","","","N","M","","","","","","","View 83 media","View 1 drawing(s)",
"94763","Yujing District Office","E05","23.12372222","120.4603333","E","2","668","550","1218","7.4","","0","","0","","8","","3.7","","L","N","","","","","","","View 78 media","View 1 drawing(s)",
"94764","Home by Temple Yujing District","E06","23.12366667","120.4594722","E","2","63","","158","0.9","","0","","0","","4","","0.6","","N","N","0","0.29","0.04","0.33","","","View 10 media","View 1 drawing(s)",
"94765","Yujing District, Trapezoidal Apartment","E07","23.12508333","120.4605278","E","4","410","410","1435","5.1","","0","","0","","8","","12.8","","N","M","0","0.18","0.06","0.23","","","View 84 media","View 1 drawing(s)",
"94766","Open Market Building","E08","23.10763889","120.3550278","E","1.2","482","86","569","7.3","","0","","0","","3.1","","4.6","","N","N","0","0.64","0.05","0.70","","","View 71 media","View 1 drawing(s)",
"94767","Fuel Depot Admin Building","E09","23.07566667","120.36325","E","2","371","449","819","3.2","","0","","0.4","","12","","11.9","","N","N","1","0.20","0.15","0.34","","","View 124 media","View 1 drawing(s)",
"94768","Guiren Jr. High, Guanghua Bldg","E10","23.07583333","120.3628889","E","3","345","345","850","3","","0","","0","","3.4","","0","","S","L","1","0.15","0.00","0.15","","","View 250 media","View 10 drawing(s)",
"94769","Pink Building by D14","E11","22.97088889","120.2881944","E","3.5","901","901","3437","16.3","","7.4","","31.5","","0","","0","","N","N","0","0.24","0.22","0.45","","","View 69 media","View 46 drawing(s)",
"94770","Rende District Office","E12","22.97227778","120.2518056","E","","","","","","","","","","","","","","","N","N","","","","","","","View 202 media","View 11 drawing(s)",
"94771","Guanmiao, Grandma's House","E13","22.96216667","120.3283333","E","3","56","56","196","0.6","","0","","0","","0.5","","1.8","","S","L","0","0.21","0.04","0.25","","","View 72 media","View 1 drawing(s)",
"94772","Zuozhen Public Market","E14","23.05791667","120.4058889","E","2","475","601","1076","9.2","","0","","0","","0","","0.4","","N","N","0","0.43","0.00","0.43","","","View 117 media","View 2 drawing(s)",
"94773","Church Office & Dormitory","E15","23.05613889","120.4053611","E","2","300","300","600","1.6","","0","","0","","5.6","","2.5","","L","S","1","0.14","0.04","0.18","","","View 106 media","View 2 drawing(s)",
"94774","Church Office #2","E16","23.05613889","120.4055556","E","2","172","110","282","2","","0","","0","","4.3","","3.1","","N","N","0","0.36","0.11","0.47","","","View 41 media","View 2 drawing(s)",
"94775","Nanhua New Market","E17","23.0425","120.4773333","E","2","321","321","803","2.8","","0","","0","","11.4","","2.1","","N","N","0","0.17","0.03","0.20","","","View 23 media","View 1 drawing(s)",
"94776","Shanhua District Office","E18","23.13236111","120.2965833","E","3","453","416","1444","6","","0","","0","","0.8","","5.8","","L","M","1","","","","","","View 132 media","",
"94777","Shanhua District, 194 Jiangou Rd","E19","23.13261111","120.2967222","E","3","171","151","492","2.5","","0","","0","","3.4","","1.9","","L","N","0","0.25","0.04","0.29","","","View 47 media","View 1 drawing(s)",
"94778","Shanhua Elementary School kindergarten Classroom & audiovisual room in Tainan","E20","23.13530556","120.2881667","E","3","475","475","1425","8.4","","6.9","","0","","0","","0","","N","N","1","0.29","0.00","0.29","","","View 60 media","View 1 drawing(s)",
"94779","No Access","E21","23.13544444","120.2872778","E","","","","","","","","","","","","","","","N","N","","","","","","","View 53 media","View 1 drawing(s)",
"94780","Anping Residential Building Near High-Rises","E22","22.99819444","120.1791667","E","2","81","81","201","1","","0","","0","","5.1","","0","","N","N","0","0.25","0.00","0.25","","","View 23 media","View 1 drawing(s)",
"94781","Anping Residential Building Near High-Rises","E23","23.00016667","120.1776389","E","3","207","170","632","2.5","","0","","0","","2.8","","10.7","","N","N","1","0.20","0.04","0.24","","","View 45 media","View 2 drawing(s)",
"94782","Yujing Junior High School B","D01-F01","23.12327778","120.4702778","F","2","485","485","970","12.7","","8.9","","0.6","","0","","0","","N","N","1","0.65","0.06","0.72","","","View 54 media","View 18 drawing(s)",
"94783","L-Shape Yujing Next to Car Shop","F03","23.11894444","120.4674722","F","3","143","143","467","1","","0","","0","","2.3","","3.8","","S","S","","0.10","0.05","0.15","","","View 129 media","View 1 drawing(s)",
"94784","11-27 Yujing District","F04","23.11963889","120.4678889","F","2","480","480","1200","2.5","","0","","0","","9.6","","7.4","","S","S","1","0.10","0.06","0.17","","","View 106 media","View 1 drawing(s)",
"94785","31 Yujing District","F05","23.11980556","120.4676944","F","3","188","122","493","1.5","","0","","0","","5.6","","2.3","","L","M","1","0.15","0.05","0.20","","","View 65 media","View 12 drawing(s)",
"94786","Shanshang Elementary School, Bldg South 2","F06","23.10088889","120.3550833","F","2","560","560","1120","4.2","","0","","0","","9.6","","","","N","N","1","0.19","","","","","View 52 media","View 78 drawing(s)",
"94787","Kunshan Elementary School Rear Portion","F07","23.00752778","120.2588889","F","4","2068","2068","8272","23.4","","1.2","","1.5","","18","","15.2","","N","L","1","0.14","0.04","0.18","","","View 60 media","View 21 drawing(s)",
"94788","Residential 6-Story Building in Guiren","F08","22.97011111","120.2864722","F","6","978","978","5866","10","","4.4","","7.5","","2.3","","0","","L","L","0","0.09","0.08","0.16","","","View 100 media","View 1 drawing(s)",
"94789","Nanhua Junior High School Main Building","F09","23.04483333","120.4808056","F","2","1050","1050","2100","14.6","","0.6","","18.6","","0","","0","","N","L","1","0.35","0.03","0.38","","","View 46 media","View 97 drawing(s)",
"94790","Nanhua Junior High School Music & Baking Classes Building","F10","23.04536111","120.481","F","1","930","","930","5.6","","0","","0","","9.1","","5.2","","N","S","1","0.30","0.06","0.36","","","View 57 media","View 4 drawing(s)",
"94791","Nanhua Junior High School Language Class Building","F11","23.04525","120.4809444","F","1","231","","231","2.5","","0","","0","","1.4","","2.1","","N","N","1","0.54","0.06","0.60","","","View 22 media","View 4 drawing(s)",
